ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,routine_name,element_iteration,condition_name,eyes_camera_pos,eyes_camera_rot,framerate
1723.901,107,1701.686,1719.821,Lab_Idle,0,default,-0.003329092 1.691441 0.3848335,4.384827 0.02237242 0.469456,72.38996
1735.625,108,1724.429,1731.549,Lab_Idle,0,default,-0.003342427 1.69152 0.3849512,4.387218 0.01988277 0.4633288,71.39861
1757.301,109,1736.185,1753.221,Lab_Idle,0,default,-0.003351716 1.691497 0.3849404,4.389353 0.02060186 0.4699163,72.02547
1768.133,110,1757.803,1764.052,Lab_Idle,0,default,-0.003362812 1.691508 0.3849403,4.386066 0.02126783 0.4682283,71.31817
1790.453,111,1768.556,1786.372,Lab_Idle,0,default,-0.003387624 1.691493 0.3849347,4.385911 0.02379813 0.4676927,71.64227
1801.528,112,1791.013,1797.447,Lab_Idle,0,default,-0.003326507 1.691473 0.3849156,4.38604 0.02400326 0.4636691,71.38841
1813.057,113,1802.049,1808.977,Lab_Idle,0,default,-0.003333575 1.691462 0.384912,4.38965 0.02331411 0.4662432,71.68016
1834.746,114,1813.569,1830.687,Lab_Idle,0,default,-0.00331241 1.691484 0.3849143,4.388957 0.02340493 0.4701336,72.31136
1846.264,115,1835.274,1842.184,Lab_Idle,0,default,-0.003340676 1.691465 0.3848993,4.392298 0.02279341 0.4746827,71.34264
1868.268,116,1846.705,1864.187,Lab_Idle,0,default,-0.003169345 1.691589 0.3848345,4.39361 0.02196764 0.4716967,71.58481
1879.366,117,1868.779,1875.286,Lab_Idle,0,default,-0.003182462 1.691567 0.3848154,4.39381 0.02059635 0.4734869,71.28396
1901.672,118,1879.823,1897.594,Lab_Idle,0,default,-0.003120302 1.691603 0.3847206,4.391499 0.01892687 0.4685527,71.57345
1912.971,119,1902.195,1908.891,Lab_Idle,0,default,-0.003149243 1.691585 0.3847041,4.390467 0.0237898 0.470304,71.23359
1923.914,120,1913.402,1919.833,Lab_Idle,0,default,-0.003167968 1.691578 0.3847003,4.388254 0.02297036 0.4675224,71.49993
1946.195,121,1924.371,1942.115,Lab_Idle,0,default,-0.003138702 1.69155 0.3848796,4.387029 0.02252138 0.4715669,72.21646
1956.924,122,1946.684,1952.843,Lab_Idle,0,default,-0.003165102 1.691529 0.384868,4.387571 0.01948709 0.4669446,71.31525
1968.107,123,1957.399,1964.027,Lab_Idle,0,default,-0.003121657 1.691471 0.3848262,4.38977 0.02193391 0.4669893,71.65251
1990.418,124,1968.576,1986.338,Lab_Idle,0,default,-0.00313853 1.691462 0.3848289,4.388982 0.0213516 0.4689968,72.33402
