frame_id,routine_name,condition_name,ellapsed_exp_time,ellapsed_element_time,trigger_info
83342,Forest_MPS_Part3,default,1450201,121.3316,send_bytes [00]
83370,Forest_MPS_Part3,default,1451090,1010.442,send_bytes [00]
83374,Forest_MPS_Part3,default,1451211,1131.876,send_bytes [00]
92839,Forest_Exit,default,1750209,45.7828,send_bytes [0F]
92845,Forest_Exit,default,1750333,169.7991,send_bytes [00]
92871,Forest_Exit,default,1751159,995.3179,send_bytes [00]
92877,Forest_Exit,default,1751350,1186.342,send_bytes [00]
100591,Lab_WelcomeBack,default,2009586,36.6925,send_bytes [10]
100599,Lab_WelcomeBack,default,2009697,147.707,send_bytes [00]
100651,Lab_WelcomeBack,default,2010540,990.2335,send_bytes [00]
100661,Lab_WelcomeBack,default,2010710,1160.255,send_bytes [00]
115364,Lab_PreFBI,default,2236681,22.1143,send_bytes [11]
115372,Lab_PreFBI,default,2236796,136.7141,send_bytes [00]
115429,Lab_PreFBI,default,2237659,999.8075,send_bytes [00]
115438,Lab_PreFBI,default,2237804,1144.825,send_bytes [00]
116052,Lab_FixationCross,asynchroneous,2247081,22.0319,send_bytes [16]
116063,Lab_FixationCross,asynchroneous,2247193,133.6251,send_bytes [00]
116141,Lab_FixationCross,asynchroneous,2248057,997.7269,send_bytes [00]
116154,Lab_FixationCross,asynchroneous,2248202,1142.745,send_bytes [00]
117941,Lab_Stroking,asynchroneous,2268167,19.2215,send_bytes [17]
117951,Lab_Stroking,asynchroneous,2268271,123.8146,send_bytes [00]
118019,Lab_Stroking,asynchroneous,2269140,991.9211,send_bytes [00]
118031,Lab_Stroking,asynchroneous,2269297,1148.942,send_bytes [00]
121231,Lab_FixationCross,asynchroneous,2308175,19.0593,send_bytes [18]
121241,Lab_FixationCross,asynchroneous,2308279,123.073,send_bytes [00]
121321,Lab_FixationCross,asynchroneous,2309168,1012.183,send_bytes [00]
121331,Lab_FixationCross,asynchroneous,2309279,1123.197,send_bytes [00]
123029,Lab_FBIQuestionnaire,asynchroneous,2328180,13.1481,send_bytes [19]
123039,Lab_FBIQuestionnaire,asynchroneous,2328291,123.7406,send_bytes [00]
123119,Lab_FBIQuestionnaire,asynchroneous,2329179,1012.274,send_bytes [00]
123129,Lab_FBIQuestionnaire,asynchroneous,2329290,1122.864,send_bytes [00]
125514,Lab_FixationCross,synchroneous,2355835,13.2821,send_bytes [12]
125525,Lab_FixationCross,synchroneous,2355946,123.7148,send_bytes [00]
125604,Lab_FixationCross,synchroneous,2356820,998.4002,send_bytes [00]
125616,Lab_FixationCross,synchroneous,2356954,1132.428,send_bytes [00]
127405,Lab_Stroking,synchroneous,2376938,19.501,send_bytes [13]
127415,Lab_Stroking,synchroneous,2377042,123.0915,send_bytes [00]
127487,Lab_Stroking,synchroneous,2377916,997.2023,send_bytes [00]
127498,Lab_Stroking,synchroneous,2378049,1130.215,send_bytes [00]
130695,Lab_FixationCross,synchroneous,2416948,13.8956,send_bytes [14]
130705,Lab_FixationCross,synchroneous,2417056,121.9096,send_bytes [00]
130785,Lab_FixationCross,synchroneous,2417946,1011.603,send_bytes [00]
130796,Lab_FixationCross,synchroneous,2418069,1134.613,send_bytes [00]
132494,Lab_FBIQuestionnaire,synchroneous,2436951,13.7329,send_bytes [15]
132504,Lab_FBIQuestionnaire,synchroneous,2437061,123.7491,send_bytes [00]
