ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,routine_name,element_iteration,condition_name,camera_rig_pos,camera_rig_rot,framerate
2112.949,147,2090.632,2109.679,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.54402
2123.869,148,2113.799,2120.599,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.06902
2134.852,149,2124.545,2131.581,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.26337
2145.589,150,2135.447,2142.317,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.31598
2168.863,151,2146.161,2165.596,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.51797
2178.868,152,2169.715,2175.595,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.10398
2189.851,153,2179.226,2186.578,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.44903
2212.59,154,2190.267,2209.32,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.62352
2223.522,155,2213.106,2220.25,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.09111
2234.906,156,2223.979,2231.635,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.27663
2245.591,157,2235.527,2242.318,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.39029
2268.566,158,2245.978,2265.297,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.12325
2278.779,159,2269.129,2275.506,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.02534
2289.745,160,2279.153,2286.472,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.30713
2301.544,161,2290.271,2298.272,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.4832
2323.73,162,2301.966,2320.459,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.0434
2334.893,163,2324.259,2331.621,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.24377
2345.542,164,2335.503,2342.271,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.20766
